time,traffic_light_id,state,phase,phase_duration,next_switch
1.0,10991992811,GGr,0,77.0,5.0
1.0,1142037880,GGr,0,77.0,5.0
1.0,1372689192,GGGr,0,77.0,5.0
1.0,1490637116,Gr,0,77.0,5.0
1.0,1496363648,GGGr,0,77.0,5.0
2.0,10991992811,GGr,0,77.0,5.0
2.0,1142037880,GGr,0,77.0,5.0
2.0,1372689192,GGGr,0,77.0,5.0
2.0,1490637116,Gr,0,77.0,5.0
2.0,1496363648,GGGr,0,77.0,5.0
3.0,10991992811,GGr,0,77.0,5.0
3.0,1142037880,GGr,0,77.0,5.0
3.0,1372689192,GGGr,0,77.0,5.0
3.0,1490637116,Gr,0,77.0,5.0
3.0,1496363648,GGGr,0,77.0,5.0
4.0,10991992811,GGr,0,77.0,5.0
4.0,1142037880,GGr,0,77.0,5.0
4.0,1372689192,GGGr,0,77.0,5.0
4.0,1490637116,Gr,0,77.0,5.0
4.0,1496363648,GGGr,0,77.0,5.0
