time,traffic_light_id,state,phase,phase_duration,next_switch
1.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,38.0
2.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,38.0
3.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,38.0
4.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,38.0
5.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,38.0
6.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,48.5
7.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,48.5
8.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,48.5
9.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,48.5
10.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,48.5
11.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,59.0
12.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,59.0
13.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,59.0
14.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,59.0
15.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,59.0
16.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,69.5
17.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,69.5
18.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,69.5
19.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,69.5
20.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,69.5
21.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,80.0
22.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,80.0
23.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,80.0
24.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,80.0
25.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,80.0
26.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,90.5
27.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,90.5
28.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,90.5
29.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,90.5
30.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,90.5
31.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,101.0
32.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,101.0
33.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,101.0
34.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,101.0
35.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,101.0
36.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,111.5
37.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,111.5
38.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,111.5
39.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,111.5
40.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,111.5
41.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,122.0
42.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,122.0
43.0,intersection,GGGgrrrrGGGgrrrr,0,38.0,122.0
