time,traffic_light_id,state,phase,phase_duration,next_switch
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,6.0
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,6.0
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,6.0
5.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,6.0
5.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,34.0
10.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,35.0
10.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,35.0
10.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,35.0
10.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,35.0
10.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,34.0
15.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,35.0
15.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,35.0
15.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,35.0
15.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,35.0
15.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,34.0
20.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,35.0
20.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,35.0
20.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,35.0
20.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,35.0
20.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,34.0
25.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,35.0
25.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,35.0
25.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,35.0
25.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,35.0
25.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggrrrr,1,5.0,34.0
30.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,35.0
30.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggrrrr,1,5.0,35.0
30.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,35.0
30.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrrr,1,5.0,35.0
